 file, R, G, B, correct
output0238.jpg, 12, 16,  9,True
output0200.jpg, 15, 11, 11,True
output0299.jpg, 13, 18,  6,True
output0346.jpg, 10, 16, 11,True
output0491.jpg, 19, 16,  2,True
output0340.jpg,  9, 12, 16,True
output0146.jpg, 19, 14,  4,True
output0409.jpg, 15, 13,  9,True
output0179.jpg,  7, 14, 16,True
output0208.jpg, 11, 17,  9,True
output0008.jpg, 37,  0,  0,True
output0446.jpg, 19, 15,  3,True
output0099.jpg, 14, 13, 10,True
output0227.jpg, 10, 13, 14,True
output0103.jpg, 14, 13, 10,True
output0002.jpg, 37,  0,  0,True
output0361.jpg, 15, 10, 12,True
output0501.jpg, 22, 10,  5,True
output0498.jpg, 21, 10,  5,False
output0494.jpg, 22, 10,  5,True
output0314.jpg, 11, 13, 13,True
output0380.jpg, 16, 11, 10,True
output0040.jpg, 28,  7,  2,True
output0204.jpg, 11, 17,  9,True
output0236.jpg, 12, 16,  9,True
output0521.jpg, 21,  9,  7,True
output0394.jpg, 14, 16,  7,True
output0229.jpg, 10, 13, 14,True
output0300.jpg,  9, 19,  9,True
output0418.jpg, 12, 18,  7,True
output0279.jpg, 15, 18,  4,True
output0224.jpg, 10, 13, 14,True
output0303.jpg,  9, 19,  9,True
output0159.jpg, 13, 17,  7,True
output0050.jpg, 28,  7,  2,True
output0072.jpg, 28,  7,  2,True
output0509.jpg, 18, 17,  2,True
output0310.jpg, 11, 13, 13,True
output0141.jpg, 14, 13, 10,True
output0362.jpg, 15, 10, 12,True
output0223.jpg, 10, 13, 14,True
output0026.jpg,  8, 14, 15,True
output0474.jpg, 20, 14,  3,True
output0151.jpg, 19, 14,  4,True
output0063.jpg, 28,  7,  2,True
output0162.jpg, 13, 17,  7,True
output0265.jpg, 14, 16,  7,True
output0353.jpg, 13,  9, 15,True
output0148.jpg, 19, 14,  4,True
output0036.jpg, 13, 14, 10,True
output0489.jpg, 19, 16,  2,True
output0038.jpg, 14, 15,  8,True
output0390.jpg, 16, 11, 10,True
output0284.jpg, 13, 19,  5,True
output0004.jpg, 37,  0,  0,True
output0145.jpg, 19, 14,  4,True
output0089.jpg, 12, 18,  7,True
output0035.jpg, 13, 14, 10,True
output0440.jpg, 15, 20,  2,True
output0020.jpg,  8, 14, 15,True
output0043.jpg, 28,  7,  2,True
output0239.jpg, 12, 16,  9,True
output0357.jpg, 13,  9, 15,True
output0452.jpg, 17, 16,  4,True
output0461.jpg, 17, 16,  4,True
output0221.jpg, 10, 13, 14,True
output0411.jpg, 12, 18,  7,True
output0160.jpg, 13, 17,  7,True
output0241.jpg, 12, 20,  5,True
output0105.jpg, 16, 12,  9,True
output0468.jpg, 15, 18,  4,True
output0350.jpg, 10, 16, 11,True
output0321.jpg,  9, 12, 16,True
output0122.jpg, 17, 13,  7,True
output0520.jpg, 21,  9,  7,True
output0448.jpg, 19, 15,  3,True
output0138.jpg, 14, 13, 10,True
